name,country,trbceconomicsectorname,pagespdf
Wartsila Oyj Abp,Finland,Industrials,46
Kemira Oyj,Finland,Basic Materials,77
Nokian Renkaat Oyj,Finland,Consumer Cyclicals,102
Konecranes Abp,Finland,Industrials,85
Stora Enso Oyj,Finland,Basic Materials,59
UPM-Kymmene Oyj,Finland,Basic Materials,61
HKFoods Oyj,Finland,Consumer Non-Cyclicals,88
Atria Oyj,Finland,Consumer Non-Cyclicals,52
Fortum Oyj,Finland,Utilities,74
Elisa Oyj,Finland,Technology,66
Etteplan Oyj,Finnland,Industrials,79
Neste Oyj,Finland,Energy,50
Kone Oyj,Finland,Industrials,54
Orion Oyj,Finland,Healthcare,82
Nordea Bank Abp,Finland,Financials,111
Sitowise Group Oyj,Finland,Industrials,66
Kempower Oyj,Finnland,Industrials,106
WithSecure Oyj,Finland,Technology,76
Sampo Oyj,Finland,Financials,79
Finnair Oyj,Finland,Industrials,109
Kalmar Oyj,Finland,Industrials,51
Credit Agricole SA,France,Financials,165
Sopra Steria Group SA,France,Technology,144
Atos SE,France,Technology,151
Teleperformance SE,France,Industrials,112
Hermes International SCA,France,Consumer Cyclicals,175
Television Francaise 1 SA,France,Consumer Cyclicals,104
Covivio SA,France,Real Estate,231
Safran SA,France,Industrials,124
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,France,Basic Materials,104
TotalEnergies SE,France,Energy,146
L'Oreal SA,France,Consumer Non-Cyclicals,98
Accor SA,France,Consumer Cyclicals,149
Sanofi SA,France,Healthcare,162
AXA SA,France,Financials,143
Danone SA,France,Consumer Non-Cyclicals,296
Imerys SA,France,Basic Materials,172
LVMH Moet Hennessy Louis Vuitton SE,France,Consumer Cyclicals,194
Kering SA,France,Consumer Cyclicals,110
EssilorLuxottica SA,France,Healthcare,154
Schneider Electric SE,France,Industrials,186
Veolia Environnement SA,France,Utilities,146
Compagnie de Saint Gobain SA,France,Consumer Cyclicals,130
Capgemini SE,France,Technology,233
Vinci SA,France,Industrials,91
Vivendi SE,France,Consumer Cyclicals,92
Societe Generale SA,France,Financials,114
BNP Paribas SA,France,Financials,196
Renault SA,France,Consumer Cyclicals,151
Orange SA,France,Technology,138
Engie SA,France,Utilities,156
Rexel SA,France,Industrials,156
Getlink SE,France,Industrials,163
Coface SA,France,Financials,155
74Software SA,France,Technology,103
Fnac Darty SA,France,Consumer Cyclicals,138
Sartorius Stedim Biotech SA,France,Healthcare,92
Unibail-Rodamco-Westfield SE,France,Real Estate,147
Thermador Groupe SA,France,Industrials,84
Dassault Systemes SE,France,Technology,165
Compagnie Generale des Etablissements Michelin SCA,France,Consumer Cyclicals,141
Air France KLM SA,France,Industrials,170
Unilever PLC,United Kingdom,Consumer Non-Cyclicals,77
RELX PLC,United Kingdom,Technology,35
Shell PLC,United Kingdom,Energy,100
Arena Hospitality Group dd,Croatia,Consumer Cyclicals,44
Hrvatski Telekom dd,Croatia,Technology,51
